Date,Open,High,Low,Close
2021-04-01 00:00:00,58739.46,59093.0,58720.82,59061.14
2021-04-01 00:05:00,59071.84,59088.95,58977.78,59030.01
2021-04-01 00:10:00,59030.0,59068.05,58965.0,58965.0
2021-04-01 00:15:00,58965.01,59027.09,58852.94,58883.57
2021-04-01 00:20:00,58883.57,59000.0,58862.21,58946.69
2021-04-01 00:25:00,58946.7,58978.5,58900.0,58903.48
2021-04-01 00:30:00,58903.47,59056.39,58903.47,59046.85
2021-04-01 00:35:00,59046.86,59048.86,58938.92,58969.63
2021-04-01 00:40:00,58969.63,59029.2,58954.92,59022.86
2021-04-01 00:45:00,59022.85,59130.0,59013.78,59115.33
2021-04-01 00:50:00,59115.32,59179.19,59002.93,59112.44
2021-04-01 00:55:00,59112.45,59240.07,59073.04,59221.95
2021-04-01 01:00:00,59221.95,59299.0,59153.29,59153.85
2021-04-01 01:05:00,59153.86,59200.0,59124.08,59145.38
2021-04-01 01:10:00,59146.73,59310.01,59137.36,59234.87
2021-04-01 01:15:00,59234.86,59314.53,59204.68,59295.02
2021-04-01 01:20:00,59284.16,59308.09,59169.47,59187.21
2021-04-01 01:25:00,59187.21,59192.63,59076.96,59132.25
2021-04-01 01:30:00,59132.25,59172.78,59118.47,59164.02
2021-04-01 01:35:00,59164.02,59177.48,58985.0,58993.77
2021-04-01 01:40:00,58993.77,59087.01,58931.43,58992.7
2021-04-01 01:45:00,58992.7,59087.64,58967.31,59076.41
2021-04-01 01:50:00,59076.41,59194.47,59076.41,59194.47
2021-04-01 01:55:00,59194.47,59230.0,59125.01,59143.72
2021-04-01 02:00:00,59139.74,59299.0,59125.01,59203.58
2021-04-01 02:05:00,59203.58,59242.82,59141.77,59186.04
2021-04-01 02:10:00,59186.03,59247.34,59143.71,59158.97
2021-04-01 02:15:00,59158.98,59309.44,59132.61,59215.95
2021-04-01 02:20:00,59215.95,59223.27,59095.86,59111.01
2021-04-01 02:25:00,59111.01,59119.36,59037.69,59065.26
2021-04-01 02:30:00,59065.25,59165.02,59050.0,59151.77
2021-04-01 02:35:00,59149.52,59209.92,59101.0,59118.7
2021-04-01 02:40:00,59118.7,59153.48,59014.9,59095.22
2021-04-01 02:45:00,59095.22,59159.31,59050.0,59083.11
2021-04-01 02:50:00,59083.12,59250.86,59047.55,59108.84
2021-04-01 02:55:00,59114.11,59143.04,59077.7,59086.99
2021-04-01 03:00:00,59086.99,59095.24,58943.28,59038.3
2021-04-01 03:05:00,59038.3,59077.7,58993.0,59046.73
2021-04-01 03:10:00,59046.72,59083.22,59024.14,59049.01
2021-04-01 03:15:00,59049.01,59165.28,59033.17,59087.26
2021-04-01 03:20:00,59087.27,59135.87,59022.91,59074.07
2021-04-01 03:25:00,59074.07,59075.46,58955.22,58991.04
2021-04-01 03:30:00,58991.03,59059.89,58970.01,59044.27
2021-04-01 03:35:00,59047.85,59056.61,59006.78,59052.47
2021-04-01 03:40:00,59056.6,59088.4,58992.12,59062.01
2021-04-01 03:45:00,59062.01,59062.01,58950.02,59005.1
2021-04-01 03:50:00,59005.1,59053.82,58941.56,59011.56
2021-04-01 03:55:00,59016.28,59130.42,59004.88,59119.02
2021-04-01 04:00:00,59119.02,59145.84,59000.0,59038.29
2021-04-01 04:05:00,59038.29,59156.77,59038.29,59139.76
2021-04-01 04:10:00,59139.77,59183.19,59064.01,59112.89
2021-04-01 04:15:00,59112.89,59227.23,59103.76,59200.34
2021-04-01 04:20:00,59200.34,59232.59,59131.73,59169.0
2021-04-01 04:25:00,59169.0,59172.83,59059.04,59093.99
2021-04-01 04:30:00,59093.99,59147.24,59060.0,59110.91
2021-04-01 04:35:00,59110.9,59150.0,59064.37,59090.29
2021-04-01 04:40:00,59090.29,59095.22,59026.61,59051.43
2021-04-01 04:45:00,59051.42,59051.43,58981.02,58991.85
2021-04-01 04:50:00,58991.86,58995.21,58622.0,58743.14
2021-04-01 04:55:00,58743.14,58878.8,58735.67,58869.99
2021-04-01 05:00:00,58869.99,58928.57,58766.97,58833.0
2021-04-01 05:05:00,58833.0,58965.45,58805.68,58872.58
2021-04-01 05:10:00,58872.59,58932.47,58785.0,58799.0
2021-04-01 05:15:00,58799.0,58874.55,58700.0,58700.68
2021-04-01 05:20:00,58700.68,58800.69,58660.65,58760.52
2021-04-01 05:25:00,58757.12,58874.55,58743.67,58852.58
2021-04-01 05:30:00,58852.58,58943.65,58846.27,58919.56
2021-04-01 05:35:00,58919.56,58970.0,58889.62,58900.88
2021-04-01 05:40:00,58900.89,58915.88,58803.97,58860.66
2021-04-01 05:45:00,58860.65,58926.21,58750.0,58823.76
2021-04-01 05:50:00,58823.77,58833.58,58752.31,58821.93
2021-04-01 05:55:00,58821.93,58859.21,58750.0,58764.79
2021-04-01 06:00:00,58764.79,58879.71,58757.55,58869.78
2021-04-01 06:05:00,58869.79,58878.17,58788.03,58850.27
2021-04-01 06:10:00,58850.27,58950.0,58843.62,58949.12
2021-04-01 06:15:00,58949.12,58970.68,58886.52,58915.15
2021-04-01 06:20:00,58915.16,59032.34,58905.82,58929.89
2021-04-01 06:25:00,58929.89,58939.31,58851.3,58912.88
2021-04-01 06:30:00,58912.88,59017.18,58912.87,58960.83
2021-04-01 06:35:00,58960.84,58979.96,58907.96,58909.18
2021-04-01 06:40:00,58909.17,58945.87,58860.0,58919.45
2021-04-01 06:45:00,58919.45,58995.44,58908.75,58938.85
2021-04-01 06:50:00,58941.28,58945.29,58866.75,58883.82
2021-04-01 06:55:00,58883.83,58883.83,58659.02,58731.61
2021-04-01 07:00:00,58734.41,58753.41,58500.2,58569.51
