Date,Open,High,Low,Close
2021-05-01 00:00:00,622.64,622.89,617.14,620.91
2021-05-01 00:05:00,621.17,621.74,618.59,620.18
2021-05-01 00:10:00,620.15,621.91,619.03,619.83
2021-05-01 00:15:00,619.83,620.44,617.98,619.72
2021-05-01 00:20:00,619.71,620.78,618.76,619.67
2021-05-01 00:25:00,619.66,620.0,618.51,619.16
2021-05-01 00:30:00,619.16,619.47,617.29,617.6
2021-05-01 00:35:00,617.62,619.22,617.36,618.71
2021-05-01 00:40:00,618.7,620.38,617.0,619.51
2021-05-01 00:45:00,619.53,625.9,619.51,624.31
2021-05-01 00:50:00,624.33,624.8,620.7,621.76
2021-05-01 00:55:00,621.75,623.7,621.6,623.07
2021-05-01 01:00:00,623.07,623.24,618.52,618.99
2021-05-01 01:05:00,619.0,619.92,618.15,618.43
2021-05-01 01:10:00,618.42,619.76,616.5,619.49
2021-05-01 01:15:00,619.49,620.79,619.19,620.23
2021-05-01 01:20:00,620.23,621.69,619.84,621.2
2021-05-01 01:25:00,621.23,621.74,619.62,620.79
2021-05-01 01:30:00,620.79,621.29,619.84,621.2
2021-05-01 01:35:00,621.2,621.35,619.68,620.17
2021-05-01 01:40:00,620.16,622.47,619.57,621.69
2021-05-01 01:45:00,621.64,621.64,618.04,618.33
2021-05-01 01:50:00,618.22,620.56,618.19,619.55
2021-05-01 01:55:00,619.54,620.57,618.51,620.51
2021-05-01 02:00:00,620.54,623.0,619.32,622.54
2021-05-01 02:05:00,622.53,626.27,621.95,625.56
2021-05-01 02:10:00,625.69,627.0,624.27,626.53
2021-05-01 02:15:00,626.41,630.31,625.21,630.08
2021-05-01 02:20:00,630.08,635.0,629.04,635.0
2021-05-01 02:25:00,635.0,640.0,634.07,639.8
2021-05-01 02:30:00,639.79,645.57,636.18,638.86
2021-05-01 02:35:00,638.86,641.0,637.8,638.18
2021-05-01 02:40:00,638.13,640.18,636.7,639.99
2021-05-01 02:45:00,640.0,640.15,636.99,637.81
2021-05-01 02:50:00,637.82,638.0,633.97,634.81
2021-05-01 02:55:00,634.82,637.06,633.42,636.97
2021-05-01 03:00:00,636.98,639.44,636.97,637.32
2021-05-01 03:05:00,637.31,638.5,636.0,636.73
2021-05-01 03:10:00,636.73,637.67,634.59,634.92
2021-05-01 03:15:00,634.92,636.65,634.14,634.29
2021-05-01 03:20:00,634.3,637.46,633.7,637.31
2021-05-01 03:25:00,637.32,637.46,635.0,636.26
2021-05-01 03:30:00,636.27,639.27,635.8,638.33
2021-05-01 03:35:00,638.32,639.17,637.35,637.53
2021-05-01 03:40:00,637.53,638.89,635.7,638.47
2021-05-01 03:45:00,638.48,638.63,636.14,636.84
2021-05-01 03:50:00,636.83,637.76,635.86,636.11
2021-05-01 03:55:00,636.17,636.94,635.59,635.97
2021-05-01 04:00:00,635.97,638.4,635.88,635.9
2021-05-01 04:05:00,635.95,636.43,634.25,635.98
2021-05-01 04:10:00,635.98,637.5,635.98,637.31
2021-05-01 04:15:00,637.3,637.66,634.95,635.5
2021-05-01 04:20:00,635.49,636.66,635.27,635.81
2021-05-01 04:25:00,635.81,635.85,629.58,632.97
2021-05-01 04:30:00,632.97,633.2,631.12,631.85
2021-05-01 04:35:00,631.78,632.02,629.58,630.88
2021-05-01 04:40:00,630.88,631.09,629.02,629.68
2021-05-01 04:45:00,629.63,630.96,627.2,630.49
2021-05-01 04:50:00,630.4,631.77,630.22,631.62
2021-05-01 04:55:00,631.62,632.4,631.18,631.54
2021-05-01 05:00:00,631.57,632.43,630.07,631.62
2021-05-01 05:05:00,631.54,633.26,631.12,632.18
2021-05-01 05:10:00,632.18,633.79,632.04,633.5
2021-05-01 05:15:00,633.51,633.61,632.22,633.14
2021-05-01 05:20:00,633.13,634.52,632.63,633.4
2021-05-01 05:25:00,633.4,635.4,632.97,635.08
2021-05-01 05:30:00,635.08,635.98,634.54,634.63
2021-05-01 05:35:00,634.69,635.39,633.0,634.08
2021-05-01 05:40:00,634.08,635.71,632.76,632.96
2021-05-01 05:45:00,632.94,634.78,632.8,634.42
2021-05-01 05:50:00,634.42,634.65,631.41,631.98
2021-05-01 05:55:00,631.97,632.67,631.55,632.55
2021-05-01 06:00:00,632.55,632.55,630.42,630.96
2021-05-01 06:05:00,630.95,631.17,628.19,629.68
2021-05-01 06:10:00,629.68,630.02,628.6,628.95
2021-05-01 06:15:00,628.94,631.5,628.94,630.93
2021-05-01 06:20:00,630.92,631.46,629.75,630.81
2021-05-01 06:25:00,630.81,631.78,630.79,631.12
2021-05-01 06:30:00,631.16,631.37,629.81,630.55
2021-05-01 06:35:00,630.54,631.16,628.1,629.49
2021-05-01 06:40:00,629.49,630.98,628.8,629.1
2021-05-01 06:45:00,629.1,629.26,624.83,626.94
2021-05-01 06:50:00,626.94,628.57,626.86,627.78
2021-05-01 06:55:00,627.81,628.6,626.77,626.97
2021-05-01 07:00:00,626.97,629.01,626.89,627.89
2021-05-01 07:05:00,627.89,628.32,625.14,625.43
2021-05-01 07:10:00,625.42,626.43,622.26,623.6
2021-05-01 07:15:00,623.61,627.33,623.0,626.95
2021-05-01 07:20:00,626.95,628.2,626.57,627.81
2021-05-01 07:25:00,627.8,628.79,626.56,626.95
2021-05-01 07:30:00,626.93,628.46,626.92,627.41
2021-05-01 07:35:00,627.41,627.58,624.69,624.84
