Date,Open,High,Low,Close
2021-04-01 00:00:00,302.4591,304.1145,301.0708,301.1205
2021-04-01 00:15:00,301.1415,303.5,300.7,302.961
2021-04-01 00:30:00,302.961,303.9514,302.5972,303.082
2021-04-01 00:45:00,303.1218,304.8268,302.1705,304.649
2021-04-01 01:00:00,304.6567,305.48,303.0705,303.6776
2021-04-01 01:15:00,303.65,304.2577,302.339,302.8469
2021-04-01 01:30:00,302.853,306.5,302.6902,305.6057
2021-04-01 01:45:00,305.6676,307.8,305.0589,306.7423
2021-04-01 02:00:00,306.3651,307.8405,306.2124,307.4036
2021-04-01 02:15:00,307.397,308.4312,306.446,306.6539
2021-04-01 02:30:00,306.6973,307.5971,305.4605,306.4923
2021-04-01 02:45:00,306.4873,309.0,306.4873,307.4769
2021-04-01 03:00:00,307.4789,307.7268,306.3,306.3521
2021-04-01 03:15:00,306.3521,307.3809,305.6156,305.8834
2021-04-01 03:30:00,305.8292,306.4092,304.0612,305.2089
2021-04-01 03:45:00,305.2089,306.585,304.4662,306.5715
2021-04-01 04:00:00,306.5687,307.5,305.8032,307.3003
2021-04-01 04:15:00,307.3087,308.0,307.2438,307.5375
2021-04-01 04:30:00,307.5376,308.2,306.2506,306.5287
2021-04-01 04:45:00,306.5641,306.8326,304.1933,306.3832
2021-04-01 05:00:00,306.403,307.0,305.7509,306.4513
2021-04-01 05:15:00,306.4174,306.8227,305.1137,306.2771
2021-04-01 05:30:00,306.2745,306.7664,305.3846,305.9977
2021-04-01 05:45:00,306.0124,306.4913,304.8826,305.1624
2021-04-01 06:00:00,305.1224,307.5,305.0897,306.914
2021-04-01 06:15:00,306.8968,307.3,306.2177,307.278
2021-04-01 06:30:00,307.2703,312.71,306.8685,312.2786
2021-04-01 06:45:00,312.3098,314.0,307.9999,310.2272
2021-04-01 07:00:00,310.2323,310.8695,307.1428,310.3988
2021-04-01 07:15:00,310.4345,313.8378,310.2807,312.6443
2021-04-01 07:30:00,312.6364,313.3592,311.746,312.8508
2021-04-01 07:45:00,312.8565,315.0,312.0235,313.2238
2021-04-01 08:00:00,313.2925,318.6348,313.2549,317.5501
2021-04-01 08:15:00,317.5692,320.5657,316.347,318.8273
2021-04-01 08:30:00,318.8274,318.9998,316.311,317.3522
2021-04-01 08:45:00,317.3522,317.7491,310.306,315.6953
2021-04-01 09:00:00,315.6953,318.9675,315.6953,318.0706
2021-04-01 09:15:00,318.0526,318.312,316.1282,316.8101
2021-04-01 09:30:00,316.911,317.0589,314.3435,315.6123
2021-04-01 09:45:00,315.6207,316.2434,314.0657,314.3064
2021-04-01 10:00:00,314.299,317.7942,313.7875,316.3158
2021-04-01 10:15:00,316.3344,317.5,315.2698,316.0285
2021-04-01 10:30:00,316.0618,317.9999,314.6247,317.3729
2021-04-01 10:45:00,317.3775,318.2637,315.8518,316.7879
2021-04-01 11:00:00,316.815,316.8205,313.02,314.6804
2021-04-01 11:15:00,314.6621,314.7196,311.01,312.8324
2021-04-01 11:30:00,312.8324,313.5563,312.0034,312.7781
2021-04-01 11:45:00,312.7537,313.9693,312.2414,313.7071
2021-04-01 12:00:00,313.7071,315.5196,311.7374,314.5753
2021-04-01 12:15:00,314.6543,316.6,313.7558,316.4899
2021-04-01 12:30:00,316.5245,316.578,314.4202,314.6597
2021-04-01 12:45:00,314.5657,316.2008,314.5,315.4829
2021-04-01 13:00:00,315.4854,316.75,314.9897,316.2994
2021-04-01 13:15:00,316.2885,319.9,316.1185,318.5132
